First_Name,Last_Name,Full_Name,GPA,Major,Relevant_Courses,Skills,Certifications,Previous_Experience,Preferred_Industry,Extracurriculars,Predicted_Job_Role
Abigail,White,Abigail White,2.72,Business Analytics,"['SQL', 'Predictive Analytics']","['Risk Management', 'Data Analysis', 'Machine Learning']",['Certified Ethical Hacker'],0,Education,"['Student Government', 'Finance Club']",Data Analyst Intern
Liam,Smith,Liam Smith,3.92,Data Analytics,"['Big Data', 'Python for Data Science']","['Java', 'SQL', 'Financial Analysis']",['AWS Certified'],2,Healthcare,"['Hackathons', 'Coding Club']",Financial Analyst Intern
Emma,Johnson,Emma Johnson,3.88,Finance,"['Investment Analysis', 'Risk Management']","['C++', 'Network Security', 'Financial Analysis']",['PMP'],0,Government,"['Coding Club', 'Student Government']",Cybersecurity Intern
Noah,Brown,Noah Brown,3.19,Data Analytics,"['Data Visualization', 'Python for Data Science']","['SQL', 'Python', 'Data Analysis']",['Certified Ethical Hacker'],0,Government,"['Research Assistant', 'Student Government']",Data Analyst Intern
Olivia,Williams,Olivia Williams,3.42,Data Analytics,"['Data Visualization', 'Big Data']","['Python', 'Cloud Computing', 'Java']",['PMP'],1,Healthcare,"['Finance Club', 'Student Government']",Software Engineering Intern
Aiden,Jones,Aiden Jones,2.54,Finance,"['Accounting', 'Investment Analysis']","['Data Analysis', 'Machine Learning', 'SQL']",['PMP'],3,Government,"['Student Government', 'Hackathons']",Data Analyst Intern
Sophia,Miller,Sophia Miller,2.92,Cybersecurity,"['Cyber Law', 'Cryptography']","['C++', 'Data Analysis', 'SQL']",['PMP'],1,Education,"['Hackathons', 'Student Government']",Data Analyst Intern
Jackson,Davis,Jackson Davis,2.56,Finance,"['Accounting', 'Risk Management']","['Machine Learning', 'Cloud Computing', 'C++']",['AWS Certified'],0,Healthcare,"['Coding Club', 'Research Assistant']",Data Analyst Intern
Ava,Garcia,Ava Garcia,3.76,Data Analytics,"['Python for Data Science', 'Big Data']","['Data Analysis', 'C++', 'SQL']",['AWS Certified'],0,Tech,"['Coding Club', 'Student Government']",Data Analyst Intern
Lucas,Rodriguez,Lucas Rodriguez,3.04,Software Engineering,"['Cloud Computing', 'DevOps']","['Machine Learning', 'Network Security', 'Python']",['CFA Level 1'],3,Healthcare,"['Coding Club', 'Research Assistant']",Cybersecurity Intern
Isabella,Wilson,Isabella Wilson,3.18,Computer Science,"['Data Structures', 'Algorithms']","['SQL', 'Financial Analysis', 'C++']",['Certified Ethical Hacker'],0,Healthcare,"['Coding Club', 'Finance Club']",Financial Analyst Intern
Mason,Martinez,Mason Martinez,3.18,Cybersecurity,"['Network Security', 'Cyber Law']","['Data Analysis', 'Machine Learning', 'Financial Analysis']",['AWS Certified'],2,Healthcare,"['Research Assistant', 'Coding Club']",Data Analyst Intern
Mia,Anderson,Mia Anderson,3.13,Finance,"['Financial Modeling', 'Risk Management']","['Financial Analysis', 'Cloud Computing', 'Network Security']",['AWS Certified'],3,Education,"['Finance Club', 'Coding Club']",Cybersecurity Intern
Ethan,Taylor,Ethan Taylor,3.51,Computer Science,"['Operating Systems', 'Machine Learning']","['Financial Analysis', 'Machine Learning', 'Python']",['AWS Certified'],1,Finance,"['Hackathons', 'Finance Club']",Data Analyst Intern
Amelia,Thomas,Amelia Thomas,2.98,Computer Science,"['Machine Learning', 'Data Structures']","['Cloud Computing', 'Financial Analysis', 'SQL']",['AWS Certified'],1,Government,"['Finance Club', 'Research Assistant']",Financial Analyst Intern
James,Hernandez,James Hernandez,3.41,Cybersecurity,"['Cryptography', 'Cyber Law']","['Network Security', 'Data Analysis', 'Python']",['Google Data Analytics'],2,Healthcare,"['Coding Club', 'Hackathons']",Cybersecurity Intern
Harper,Moore,Harper Moore,3.02,Finance,"['Accounting', 'Risk Management']","['Financial Analysis', 'C++', 'Java']",['Certified Ethical Hacker'],1,Tech,"['Hackathons', 'Finance Club']",Financial Analyst Intern
Alexander,Martin,Alexander Martin,3.01,Business Analytics,"['Predictive Analytics', 'Business Intelligence']","['Data Analysis', 'Risk Management', 'Cloud Computing']",['CFA Level 1'],2,Tech,"['Finance Club', 'Research Assistant']",Data Analyst Intern
Evelyn,Jackson,Evelyn Jackson,2.93,Business Analytics,"['Predictive Analytics', 'SQL']","['C++', 'Network Security', 'SQL']",['AWS Certified'],2,Government,"['Research Assistant', 'Hackathons']",Cybersecurity Intern
Benjamin,Thompson,Benjamin Thompson,2.81,Computer Science,"['Machine Learning', 'Algorithms']","['Java', 'Risk Management', 'Network Security']",['PMP'],3,Education,"['Research Assistant', 'Finance Club']",Cybersecurity Intern
Abigail,White,Abigail White,3.36,Finance,"['Risk Management', 'Financial Modeling']","['C++', 'Financial Analysis', 'Cloud Computing']",['PMP'],0,Education,"['Hackathons', 'Research Assistant']",Financial Analyst Intern
Liam,Smith,Liam Smith,3.69,Computer Science,"['Machine Learning', 'Data Structures']","['SQL', 'Cloud Computing', 'Financial Analysis']",['PMP'],0,Education,"['Research Assistant', 'Coding Club']",Financial Analyst Intern
Emma,Johnson,Emma Johnson,3.36,Cybersecurity,"['Ethical Hacking', 'Cryptography']","['Python', 'Cloud Computing', 'Machine Learning']",['AWS Certified'],1,Tech,"['Hackathons', 'Student Government']",Data Analyst Intern
Noah,Brown,Noah Brown,3.58,Computer Science,"['Machine Learning', 'Data Structures']","['Risk Management', 'Cloud Computing', 'C++']",['PMP'],3,Healthcare,"['Research Assistant', 'Coding Club']",Financial Analyst Intern
Olivia,Williams,Olivia Williams,2.76,Software Engineering,"['Cloud Computing', 'Software Development']","['SQL', 'Python', 'Java']",['CFA Level 1'],3,Education,"['Student Government', 'Research Assistant']",Software Engineering Intern
Aiden,Jones,Aiden Jones,3.9,Data Analytics,"['Data Visualization', 'Statistics']","['Cloud Computing', 'Python', 'Network Security']",['PMP'],2,Government,"['Hackathons', 'Coding Club']",Cybersecurity Intern
Sophia,Miller,Sophia Miller,3.87,Finance,"['Investment Analysis', 'Risk Management']","['Data Analysis', 'Risk Management', 'C++']",['Google Data Analytics'],0,Healthcare,"['Hackathons', 'Finance Club']",Data Analyst Intern
Jackson,Davis,Jackson Davis,3.97,Software Engineering,"['Software Development', 'DevOps']","['Cloud Computing', 'Data Analysis', 'Risk Management']",['PMP'],2,Healthcare,"['Finance Club', 'Student Government']",Data Analyst Intern
Ava,Garcia,Ava Garcia,2.78,Finance,"['Financial Modeling', 'Risk Management']","['Financial Analysis', 'Risk Management', 'Machine Learning']",['AWS Certified'],0,Government,"['Research Assistant', 'Finance Club']",Data Analyst Intern
Lucas,Rodriguez,Lucas Rodriguez,3.7,Data Analytics,"['Big Data', 'Data Visualization']","['Data Analysis', 'Risk Management', 'C++']",['Certified Ethical Hacker'],3,Finance,"['Hackathons', 'Coding Club']",Data Analyst Intern
Isabella,Wilson,Isabella Wilson,3.8,Finance,"['Financial Modeling', 'Risk Management']","['SQL', 'Cloud Computing', 'Risk Management']",['PMP'],1,Education,"['Research Assistant', 'Hackathons']",Financial Analyst Intern
Mason,Martinez,Mason Martinez,3.45,Cybersecurity,"['Cryptography', 'Cyber Law']","['Financial Analysis', 'Network Security', 'SQL']",['CFA Level 1'],1,Education,"['Research Assistant', 'Hackathons']",Cybersecurity Intern
Mia,Anderson,Mia Anderson,3.24,Finance,"['Investment Analysis', 'Accounting']","['Python', 'Data Analysis', 'Network Security']",['Certified Ethical Hacker'],0,Healthcare,"['Student Government', 'Research Assistant']",Cybersecurity Intern
Ethan,Taylor,Ethan Taylor,3.36,Cybersecurity,"['Cyber Law', 'Cryptography']","['Python', 'Financial Analysis', 'Cloud Computing']",['AWS Certified'],0,Education,"['Finance Club', 'Coding Club']",Financial Analyst Intern
Amelia,Thomas,Amelia Thomas,3.76,Finance,"['Investment Analysis', 'Financial Modeling']","['Financial Analysis', 'Java', 'Data Analysis']",['AWS Certified'],1,Education,"['Finance Club', 'Coding Club']",Data Analyst Intern
James,Hernandez,James Hernandez,3.3,Computer Science,"['Machine Learning', 'Data Structures']","['Risk Management', 'SQL', 'Data Analysis']",['PMP'],3,Healthcare,"['Student Government', 'Coding Club']",Data Analyst Intern
Harper,Moore,Harper Moore,2.64,Data Analytics,"['Data Visualization', 'Statistics']","['Python', 'Network Security', 'Risk Management']",['CFA Level 1'],1,Finance,"['Coding Club', 'Research Assistant']",Cybersecurity Intern
Alexander,Martin,Alexander Martin,3.59,Cybersecurity,"['Cyber Law', 'Cryptography']","['Java', 'SQL', 'Python']",['AWS Certified'],1,Education,"['Student Government', 'Research Assistant']",Software Engineering Intern
Evelyn,Jackson,Evelyn Jackson,3.98,Computer Science,"['Data Structures', 'Machine Learning']","['Python', 'Network Security', 'Data Analysis']",['AWS Certified'],2,Healthcare,"['Hackathons', 'Coding Club']",Cybersecurity Intern
Benjamin,Thompson,Benjamin Thompson,3.81,Finance,"['Financial Modeling', 'Risk Management']","['Cloud Computing', 'Network Security', 'C++']",['PMP'],1,Tech,"['Student Government', 'Research Assistant']",Cybersecurity Intern
Abigail,White,Abigail White,3.41,Data Analytics,"['Statistics', 'Big Data']","['SQL', 'Cloud Computing', 'Python']",['PMP'],3,Tech,"['Coding Club', 'Research Assistant']",Software Engineering Intern
Liam,Smith,Liam Smith,2.82,Software Engineering,"['DevOps', 'Software Development']","['Python', 'Risk Management', 'Java']",['Google Data Analytics'],2,Finance,"['Student Government', 'Hackathons']",Financial Analyst Intern
Emma,Johnson,Emma Johnson,3.96,Finance,"['Accounting', 'Investment Analysis']","['Data Analysis', 'Cloud Computing', 'Python']",['CFA Level 1'],1,Tech,"['Research Assistant', 'Student Government']",Data Analyst Intern
Noah,Brown,Noah Brown,3.84,Finance,"['Investment Analysis', 'Financial Modeling']","['Network Security', 'SQL', 'Java']",['CFA Level 1'],3,Education,"['Student Government', 'Coding Club']",Cybersecurity Intern
Olivia,Williams,Olivia Williams,3.17,Software Engineering,"['Software Development', 'Cloud Computing']","['SQL', 'C++', 'Financial Analysis']",['Certified Ethical Hacker'],2,Education,"['Finance Club', 'Research Assistant']",Financial Analyst Intern
Aiden,Jones,Aiden Jones,2.94,Computer Science,"['Algorithms', 'Data Structures']","['Financial Analysis', 'Data Analysis', 'C++']",['Google Data Analytics'],2,Healthcare,"['Student Government', 'Hackathons']",Data Analyst Intern
Sophia,Miller,Sophia Miller,3.91,Cybersecurity,"['Cyber Law', 'Network Security']","['Java', 'Financial Analysis', 'Data Analysis']",['PMP'],1,Education,"['Coding Club', 'Finance Club']",Data Analyst Intern
Jackson,Davis,Jackson Davis,2.76,Computer Science,"['Data Structures', 'Operating Systems']","['Cloud Computing', 'Python', 'Financial Analysis']",['AWS Certified'],1,Education,"['Hackathons', 'Finance Club']",Financial Analyst Intern
Ava,Garcia,Ava Garcia,3.54,Cybersecurity,"['Cryptography', 'Ethical Hacking']","['Machine Learning', 'Network Security', 'C++']",['PMP'],1,Healthcare,"['Coding Club', 'Research Assistant']",Cybersecurity Intern
Lucas,Rodriguez,Lucas Rodriguez,2.71,Cybersecurity,"['Cryptography', 'Network Security']","['Data Analysis', 'Network Security', 'Risk Management']",['CFA Level 1'],1,Tech,"['Coding Club', 'Student Government']",Cybersecurity Intern
Isabella,Wilson,Isabella Wilson,2.8,Data Analytics,"['Python for Data Science', 'Statistics']","['Java', 'Network Security', 'C++']",['Google Data Analytics'],2,Healthcare,"['Student Government', 'Coding Club']",Cybersecurity Intern
Mason,Martinez,Mason Martinez,3.9,Cybersecurity,"['Ethical Hacking', 'Cyber Law']","['Cloud Computing', 'Network Security', 'Data Analysis']",['Google Data Analytics'],3,Tech,"['Hackathons', 'Finance Club']",Cybersecurity Intern
Mia,Anderson,Mia Anderson,2.96,Software Engineering,"['Databases', 'Cloud Computing']","['SQL', 'Java', 'Data Analysis']",['AWS Certified'],0,Healthcare,"['Coding Club', 'Student Government']",Data Analyst Intern
Ethan,Taylor,Ethan Taylor,3.48,Finance,"['Investment Analysis', 'Risk Management']","['Cloud Computing', 'Financial Analysis', 'SQL']",['Google Data Analytics'],0,Tech,"['Hackathons', 'Coding Club']",Financial Analyst Intern
Amelia,Thomas,Amelia Thomas,3.15,Cybersecurity,"['Cyber Law', 'Network Security']","['Data Analysis', 'Risk Management', 'Machine Learning']",['CFA Level 1'],0,Finance,"['Student Government', 'Finance Club']",Data Analyst Intern
James,Hernandez,James Hernandez,3.28,Cybersecurity,"['Ethical Hacking', 'Network Security']","['Data Analysis', 'Python', 'Cloud Computing']",['AWS Certified'],1,Finance,"['Student Government', 'Coding Club']",Data Analyst Intern
Harper,Moore,Harper Moore,3.36,Data Analytics,"['Big Data', 'Data Visualization']","['Data Analysis', 'Python', 'Java']",['Google Data Analytics'],0,Tech,"['Student Government', 'Hackathons']",Data Analyst Intern
Alexander,Martin,Alexander Martin,3.86,Finance,"['Financial Modeling', 'Risk Management']","['Network Security', 'Cloud Computing', 'Financial Analysis']",['Certified Ethical Hacker'],1,Finance,"['Finance Club', 'Student Government']",Cybersecurity Intern
Evelyn,Jackson,Evelyn Jackson,2.81,Computer Science,"['Machine Learning', 'Data Structures']","['Risk Management', 'Java', 'C++']",['CFA Level 1'],1,Finance,"['Coding Club', 'Student Government']",Financial Analyst Intern
Benjamin,Thompson,Benjamin Thompson,3.02,Software Engineering,"['Cloud Computing', 'Software Development']","['Data Analysis', 'Network Security', 'SQL']",['CFA Level 1'],2,Finance,"['Student Government', 'Research Assistant']",Cybersecurity Intern
Abigail,White,Abigail White,3.98,Software Engineering,"['Databases', 'DevOps']","['Cloud Computing', 'SQL', 'Machine Learning']",['Google Data Analytics'],0,Finance,"['Hackathons', 'Student Government']",Data Analyst Intern
Liam,Smith,Liam Smith,3.86,Finance,"['Investment Analysis', 'Accounting']","['Cloud Computing', 'Network Security', 'Java']",['Google Data Analytics'],0,Healthcare,"['Hackathons', 'Research Assistant']",Cybersecurity Intern
Emma,Johnson,Emma Johnson,2.56,Finance,"['Risk Management', 'Financial Modeling']","['Cloud Computing', 'SQL', 'Machine Learning']",['CFA Level 1'],3,Government,"['Coding Club', 'Research Assistant']",Data Analyst Intern
Noah,Brown,Noah Brown,2.81,Finance,"['Investment Analysis', 'Financial Modeling']","['Financial Analysis', 'Java', 'SQL']",['PMP'],3,Education,"['Student Government', 'Hackathons']",Financial Analyst Intern
Olivia,Williams,Olivia Williams,3.14,Finance,"['Financial Modeling', 'Investment Analysis']","['Cloud Computing', 'Python', 'SQL']",['CFA Level 1'],2,Government,"['Student Government', 'Research Assistant']",Software Engineering Intern
Aiden,Jones,Aiden Jones,3.9,Software Engineering,"['Software Development', 'Databases']","['SQL', 'Data Analysis', 'Network Security']",['CFA Level 1'],0,Education,"['Research Assistant', 'Finance Club']",Cybersecurity Intern
Sophia,Miller,Sophia Miller,3.9,Software Engineering,"['DevOps', 'Cloud Computing']","['Financial Analysis', 'Java', 'Risk Management']",['Certified Ethical Hacker'],1,Tech,"['Hackathons', 'Student Government']",Financial Analyst Intern
Jackson,Davis,Jackson Davis,2.63,Computer Science,"['Algorithms', 'Operating Systems']","['Machine Learning', 'Financial Analysis', 'Data Analysis']",['CFA Level 1'],0,Tech,"['Finance Club', 'Coding Club']",Data Analyst Intern
Ava,Garcia,Ava Garcia,2.79,Cybersecurity,"['Ethical Hacking', 'Cryptography']","['C++', 'SQL', 'Java']",['Google Data Analytics'],0,Finance,"['Hackathons', 'Student Government']",Software Engineering Intern
Lucas,Rodriguez,Lucas Rodriguez,2.67,Data Analytics,"['Python for Data Science', 'Data Visualization']","['Data Analysis', 'Financial Analysis', 'Machine Learning']",['CFA Level 1'],3,Education,"['Research Assistant', 'Hackathons']",Data Analyst Intern
Isabella,Wilson,Isabella Wilson,2.95,Software Engineering,"['Databases', 'DevOps']","['Financial Analysis', 'Python', 'Cloud Computing']",['CFA Level 1'],3,Tech,"['Finance Club', 'Hackathons']",Financial Analyst Intern
Mason,Martinez,Mason Martinez,3.93,Software Engineering,"['DevOps', 'Databases']","['Python', 'Data Analysis', 'SQL']",['AWS Certified'],0,Education,"['Finance Club', 'Hackathons']",Data Analyst Intern
Mia,Anderson,Mia Anderson,3.1,Computer Science,"['Machine Learning', 'Algorithms']","['Java', 'Data Analysis', 'Machine Learning']",['AWS Certified'],1,Government,"['Research Assistant', 'Coding Club']",Data Analyst Intern
Ethan,Taylor,Ethan Taylor,2.87,Data Analytics,"['Statistics', 'Data Visualization']","['Cloud Computing', 'Data Analysis', 'Risk Management']",['AWS Certified'],2,Finance,"['Student Government', 'Finance Club']",Data Analyst Intern
Amelia,Thomas,Amelia Thomas,2.88,Data Analytics,"['Statistics', 'Data Visualization']","['Java', 'Cloud Computing', 'Network Security']",['AWS Certified'],0,Education,"['Coding Club', 'Research Assistant']",Cybersecurity Intern
James,Hernandez,James Hernandez,3.6,Business Analytics,"['Data Analytics', 'SQL']","['Financial Analysis', 'SQL', 'Java']",['CFA Level 1'],2,Government,"['Student Government', 'Finance Club']",Financial Analyst Intern
Harper,Moore,Harper Moore,2.88,Software Engineering,"['Software Development', 'Cloud Computing']","['Network Security', 'Machine Learning', 'Cloud Computing']",['Certified Ethical Hacker'],0,Education,"['Finance Club', 'Student Government']",Cybersecurity Intern
Alexander,Martin,Alexander Martin,3.81,Cybersecurity,"['Cyber Law', 'Cryptography']","['Python', 'SQL', 'C++']",['CFA Level 1'],1,Tech,"['Coding Club', 'Hackathons']",Software Engineering Intern
Evelyn,Jackson,Evelyn Jackson,2.81,Cybersecurity,"['Ethical Hacking', 'Network Security']","['Cloud Computing', 'Financial Analysis', 'SQL']",['PMP'],1,Healthcare,"['Student Government', 'Finance Club']",Financial Analyst Intern
Benjamin,Thompson,Benjamin Thompson,3.71,Data Analytics,"['Statistics', 'Data Visualization']","['Data Analysis', 'SQL', 'Java']",['Certified Ethical Hacker'],0,Finance,"['Research Assistant', 'Coding Club']",Data Analyst Intern
Abigail,White,Abigail White,2.55,Data Analytics,"['Data Visualization', 'Python for Data Science']","['Cloud Computing', 'Network Security', 'C++']",['Certified Ethical Hacker'],2,Government,"['Student Government', 'Hackathons']",Cybersecurity Intern
Liam,Smith,Liam Smith,3.97,Business Analytics,"['Data Analytics', 'Business Intelligence']","['Cloud Computing', 'C++', 'Financial Analysis']",['Google Data Analytics'],3,Tech,"['Student Government', 'Coding Club']",Financial Analyst Intern
Emma,Johnson,Emma Johnson,2.76,Business Analytics,"['SQL', 'Business Intelligence']","['Java', 'Network Security', 'Financial Analysis']",['Certified Ethical Hacker'],0,Finance,"['Student Government', 'Finance Club']",Cybersecurity Intern
Noah,Brown,Noah Brown,3.36,Data Analytics,"['Data Visualization', 'Python for Data Science']","['C++', 'Cloud Computing', 'SQL']",['Google Data Analytics'],1,Tech,"['Coding Club', 'Research Assistant']",Software Engineering Intern
Olivia,Williams,Olivia Williams,3.21,Computer Science,"['Algorithms', 'Data Structures']","['Network Security', 'Cloud Computing', 'Machine Learning']",['Google Data Analytics'],0,Education,"['Coding Club', 'Hackathons']",Cybersecurity Intern
Aiden,Jones,Aiden Jones,3.03,Computer Science,"['Machine Learning', 'Algorithms']","['Java', 'Financial Analysis', 'Network Security']",['CFA Level 1'],1,Tech,"['Research Assistant', 'Hackathons']",Cybersecurity Intern
Sophia,Miller,Sophia Miller,3.87,Cybersecurity,"['Cryptography', 'Ethical Hacking']","['Machine Learning', 'Financial Analysis', 'SQL']",['Certified Ethical Hacker'],2,Healthcare,"['Research Assistant', 'Hackathons']",Data Analyst Intern
Jackson,Davis,Jackson Davis,3.87,Business Analytics,"['Predictive Analytics', 'Data Analytics']","['Python', 'Network Security', 'Risk Management']",['PMP'],0,Finance,"['Coding Club', 'Student Government']",Cybersecurity Intern
Ava,Garcia,Ava Garcia,3.07,Software Engineering,"['Software Development', 'Cloud Computing']","['Data Analysis', 'Financial Analysis', 'Python']",['Certified Ethical Hacker'],1,Finance,"['Research Assistant', 'Coding Club']",Data Analyst Intern
Lucas,Rodriguez,Lucas Rodriguez,2.79,Business Analytics,"['Predictive Analytics', 'Data Analytics']","['Financial Analysis', 'SQL', 'Data Analysis']",['AWS Certified'],1,Government,"['Coding Club', 'Finance Club']",Data Analyst Intern
Isabella,Wilson,Isabella Wilson,3.77,Software Engineering,"['Databases', 'Cloud Computing']","['C++', 'Java', 'Python']",['AWS Certified'],1,Healthcare,"['Hackathons', 'Finance Club']",Software Engineering Intern
Mason,Martinez,Mason Martinez,3.51,Data Analytics,"['Data Visualization', 'Python for Data Science']","['Machine Learning', 'Python', 'Java']",['CFA Level 1'],2,Finance,"['Research Assistant', 'Student Government']",Data Analyst Intern
Mia,Anderson,Mia Anderson,3.72,Software Engineering,"['Cloud Computing', 'Databases']","['Financial Analysis', 'Risk Management', 'Network Security']",['PMP'],0,Education,"['Coding Club', 'Hackathons']",Cybersecurity Intern
Ethan,Taylor,Ethan Taylor,2.82,Business Analytics,"['Data Analytics', 'Predictive Analytics']","['Python', 'C++', 'Cloud Computing']",['AWS Certified'],3,Tech,"['Research Assistant', 'Student Government']",Software Engineering Intern
Amelia,Thomas,Amelia Thomas,3.22,Computer Science,"['Operating Systems', 'Data Structures']","['Cloud Computing', 'Financial Analysis', 'Data Analysis']",['Certified Ethical Hacker'],0,Tech,"['Coding Club', 'Finance Club']",Data Analyst Intern
James,Hernandez,James Hernandez,3.96,Computer Science,"['Machine Learning', 'Data Structures']","['SQL', 'Java', 'Financial Analysis']",['Certified Ethical Hacker'],3,Healthcare,"['Hackathons', 'Finance Club']",Financial Analyst Intern
Harper,Moore,Harper Moore,3.08,Computer Science,"['Algorithms', 'Data Structures']","['SQL', 'Financial Analysis', 'C++']",['Certified Ethical Hacker'],0,Tech,"['Hackathons', 'Student Government']",Financial Analyst Intern
Alexander,Martin,Alexander Martin,3.97,Business Analytics,"['Data Analytics', 'Predictive Analytics']","['Network Security', 'Financial Analysis', 'Machine Learning']",['CFA Level 1'],0,Government,"['Hackathons', 'Student Government']",Cybersecurity Intern
Evelyn,Jackson,Evelyn Jackson,2.93,Cybersecurity,"['Network Security', 'Cryptography']","['Machine Learning', 'Cloud Computing', 'SQL']",['Google Data Analytics'],2,Education,"['Student Government', 'Hackathons']",Data Analyst Intern
Benjamin,Thompson,Benjamin Thompson,2.54,Software Engineering,"['DevOps', 'Cloud Computing']","['Machine Learning', 'Java', 'Risk Management']",['Google Data Analytics'],3,Education,"['Finance Club', 'Coding Club']",Data Analyst Intern
Abigail,White,Abigail White,3.6,Business Analytics,"['Business Intelligence', 'Predictive Analytics']","['Data Analysis', 'Machine Learning', 'Risk Management']",['CFA Level 1'],0,Healthcare,"['Research Assistant', 'Finance Club']",Data Analyst Intern
Liam,Smith,Liam Smith,3.74,Cybersecurity,"['Cyber Law', 'Network Security']","['Network Security', 'Python', 'C++']",['PMP'],3,Finance,"['Hackathons', 'Finance Club']",Cybersecurity Intern
Emma,Johnson,Emma Johnson,3.72,Finance,"['Accounting', 'Risk Management']","['Risk Management', 'Python', 'Cloud Computing']",['Google Data Analytics'],1,Healthcare,"['Hackathons', 'Coding Club']",Financial Analyst Intern
Noah,Brown,Noah Brown,3.59,Software Engineering,"['Databases', 'DevOps']","['SQL', 'Python', 'Financial Analysis']",['Google Data Analytics'],2,Finance,"['Finance Club', 'Coding Club']",Financial Analyst Intern
Olivia,Williams,Olivia Williams,3.91,Software Engineering,"['Software Development', 'DevOps']","['Java', 'Python', 'Data Analysis']",['PMP'],3,Education,"['Student Government', 'Hackathons']",Data Analyst Intern
Aiden,Jones,Aiden Jones,3.29,Computer Science,"['Operating Systems', 'Machine Learning']","['SQL', 'Machine Learning', 'Network Security']",['AWS Certified'],0,Healthcare,"['Research Assistant', 'Finance Club']",Cybersecurity Intern
Sophia,Miller,Sophia Miller,3.89,Cybersecurity,"['Cryptography', 'Cyber Law']","['Python', 'Financial Analysis', 'Cloud Computing']",['PMP'],0,Government,"['Research Assistant', 'Coding Club']",Financial Analyst Intern
Jackson,Davis,Jackson Davis,3.41,Business Analytics,"['Data Analytics', 'SQL']","['Machine Learning', 'Financial Analysis', 'Risk Management']",['Google Data Analytics'],2,Finance,"['Research Assistant', 'Student Government']",Data Analyst Intern
Ava,Garcia,Ava Garcia,3.23,Finance,"['Financial Modeling', 'Investment Analysis']","['Financial Analysis', 'Machine Learning', 'Cloud Computing']",['PMP'],1,Finance,"['Student Government', 'Coding Club']",Data Analyst Intern
Lucas,Rodriguez,Lucas Rodriguez,3.9,Software Engineering,"['Software Development', 'DevOps']","['SQL', 'Risk Management', 'Financial Analysis']",['Google Data Analytics'],2,Tech,"['Research Assistant', 'Student Government']",Financial Analyst Intern
Isabella,Wilson,Isabella Wilson,3.72,Software Engineering,"['Databases', 'DevOps']","['Risk Management', 'Network Security', 'Python']",['Certified Ethical Hacker'],2,Education,"['Research Assistant', 'Hackathons']",Cybersecurity Intern
Mason,Martinez,Mason Martinez,3.75,Software Engineering,"['Software Development', 'Cloud Computing']","['Python', 'C++', 'SQL']",['AWS Certified'],1,Tech,"['Hackathons', 'Research Assistant']",Software Engineering Intern
Mia,Anderson,Mia Anderson,3.6,Finance,"['Accounting', 'Financial Modeling']","['Java', 'SQL', 'Financial Analysis']",['CFA Level 1'],0,Finance,"['Coding Club', 'Finance Club']",Financial Analyst Intern
Ethan,Taylor,Ethan Taylor,3.45,Software Engineering,"['Cloud Computing', 'Databases']","['Machine Learning', 'Python', 'Risk Management']",['CFA Level 1'],0,Government,"['Student Government', 'Finance Club']",Data Analyst Intern
Amelia,Thomas,Amelia Thomas,2.94,Data Analytics,"['Big Data', 'Statistics']","['Machine Learning', 'Network Security', 'Data Analysis']",['Google Data Analytics'],2,Healthcare,"['Finance Club', 'Research Assistant']",Cybersecurity Intern
James,Hernandez,James Hernandez,3.52,Data Analytics,"['Python for Data Science', 'Big Data']","['Data Analysis', 'Network Security', 'Financial Analysis']",['Google Data Analytics'],3,Government,"['Hackathons', 'Coding Club']",Cybersecurity Intern
Harper,Moore,Harper Moore,3,Finance,"['Financial Modeling', 'Risk Management']","['Risk Management', 'Data Analysis', 'Cloud Computing']",['PMP'],0,Government,"['Research Assistant', 'Student Government']",Data Analyst Intern
Alexander,Martin,Alexander Martin,2.79,Business Analytics,"['SQL', 'Data Analytics']","['Financial Analysis', 'SQL', 'Machine Learning']",['AWS Certified'],1,Education,"['Student Government', 'Finance Club']",Data Analyst Intern
Evelyn,Jackson,Evelyn Jackson,3.1,Data Analytics,"['Data Visualization', 'Statistics']","['Python', 'SQL', 'Network Security']",['CFA Level 1'],3,Government,"['Student Government', 'Research Assistant']",Cybersecurity Intern
Benjamin,Thompson,Benjamin Thompson,2.79,Software Engineering,"['Databases', 'Software Development']","['Python', 'Risk Management', 'Machine Learning']",['Google Data Analytics'],0,Finance,"['Coding Club', 'Student Government']",Data Analyst Intern
Abigail,White,Abigail White,3.44,Computer Science,"['Operating Systems', 'Machine Learning']","['Data Analysis', 'Cloud Computing', 'Financial Analysis']",['Google Data Analytics'],2,Tech,"['Student Government', 'Coding Club']",Data Analyst Intern
Liam,Smith,Liam Smith,3.24,Cybersecurity,"['Ethical Hacking', 'Network Security']","['Python', 'C++', 'Financial Analysis']",['PMP'],1,Healthcare,"['Student Government', 'Coding Club']",Financial Analyst Intern
Emma,Johnson,Emma Johnson,3.19,Business Analytics,"['Business Intelligence', 'Data Analytics']","['Financial Analysis', 'C++', 'Machine Learning']",['Certified Ethical Hacker'],2,Tech,"['Coding Club', 'Hackathons']",Data Analyst Intern
Noah,Brown,Noah Brown,3.34,Data Analytics,"['Big Data', 'Statistics']","['Network Security', 'SQL', 'Risk Management']",['PMP'],1,Healthcare,"['Research Assistant', 'Finance Club']",Cybersecurity Intern
